id,replies,retweets,quotes,likes,tidy_tweets,sentiment,Overall_sentimental,day_of_week,date_only,Time
1266824199202578433,1367,3825,196,21090,Today in lifting our ambitions and our imaginations to the heavens the United States has once more reshaped the future of space travel https t co AskxceOJJU,0.25,Positive,Saturday,2020-05-30,20:10:00
1266844333006700550,2550,8381,569,31907,You can t defeat bigotry it only hides And when leaders give it oxygen as Donald Trump has done it comes roaring back We all have a moral obligation to stand up speak out and hold people accountable https t co vES aIXVGl,0.0,Neutral,Saturday,2020-05-30,21:30:00
1266863206334705664,6216,23934,1379,137144,If we are complacent if we are silent we are complicit in perpetuating these cycles of violence None of us can turn away We all have an obligation to speak out ,0.0,Neutral,Saturday,2020-05-30,22:45:00
1266874530779275264,3039,9595,511,44600,Trump s Tantrum Diplomacy is eroding U S credibility on the international stage Withdrawing from WHO during a global pandemic is a recipe for disaster and increases the cost of the American response We must instead rally the world to confront COVID https t co rIlUewZNyI,0.0,Neutral,Saturday,2020-05-30,23:30:00
1266949697874415618,37135,33165,3896,139352,We are a nation in pain but we must not allow this pain to destroy us We are a nation enraged but we cannot allow our rage to consume us Please stay safe Please take care of each other https t co Y rANwUF,0.05833333333333333,Neutral,Sunday,2020-05-31,04:28:00
1267216045246382082,12780,39694,5603,195210,We are a nation in pain right now but we must not allow this pain to destroy us As President I will help lead this conversation and more importantly I will listen just as I did today visiting the site of last night s protests in Wilmington https t co h ApbKT C,0.19714285714285712,Positive,Sunday,2020-05-31,22:07:00
1267503703927386118,2660,10056,861,42985,After another night of unrest in America I m hosting a virtual roundtable with mayors from across the country to discuss where we go from here Tune in https t co qyXzbDdSBq,0.0,Neutral,Monday,2020-06-01,17:10:00
1267520286028513281,5513,20338,1709,134948,Leaders listen https t co FPSJP Fkn ,0.0,Neutral,Monday,2020-06-01,18:16:00
1267570366227988482,5973,30404,1331,157764,In this moment the very soul of America is at stake We must commit as a nation to pursue justice with every ounce of our being We have to finally make real the American promise That all men and women are not only equal at creation but throughout their lives ,0.06666666666666667,Neutral,Monday,2020-06-01,21:35:00
1267634400080117761,13852,58711,3688,214239,He s using the American military against the American people He tear gassed peaceful protesters and fired rubber bullets For a photo For our children for the very soul of our country we must defeat him But I mean it when I say this we can only do it together https t co G yE q Nz,0.005357142857142854,Neutral,Tuesday,2020-06-02,01:49:00
1267650896562843648,1268,5990,223,30348,Pride is a global movement of love self expression and community resilient in the face of oppression and fear and hopeful for a better future This month let us recommit to those principles and remain steadfast in the fight for justice and equality https t co cNxsmEFW R,0.27999999999999997,Positive,Tuesday,2020-06-02,02:55:00
1267819776291692555,2799,9686,1142,36387,Let us vow to make this at last an era of action to reverse systemic racism with long overdue and concrete changes This morning I m speaking in Philadelphia Pennsylvania on where we are and where we need to go Tune in https t co bSdeXp Rc,0.05,Neutral,Tuesday,2020-06-02,14:06:00
1267829322548563971,10575,31008,2115,183231,A country is crying out for leadership Leadership that can unite us leadership that brings us together leadership that can recognize the pain and deep grief of communities that have had a knee on their neck for a long time ,-0.2625,Negative,Tuesday,2020-06-02,14:44:00
1267832845608747009,5803,25130,1252,140254,The President held up a bible at St John s church yesterday If he opened it instead of brandishing it he could have learned something That we are all called to love one another as we love ourselves That s hard work But it s the work of America ,0.23611111111111108,Positive,Tuesday,2020-06-02,14:58:00
1267841150326636545,2638,12023,536,61242,I ve said from the outset of this election that we are in a battle for the soul of this nation Who we are What we believe And maybe most important who we want to be It s all at stake That is truer today than ever And it s in this urgency we can find the path forward ,0.45,Positive,Tuesday,2020-06-02,15:31:00
1267876242075746304,2107,13356,469,71392,Juli n I made a promise to George s family that he wouldn t just become another hashtag We re going to tackle this head on and we re going to need your help to do it Grateful for your support https t co D Ssv hU S,0.0,Neutral,Tuesday,2020-06-02,17:50:00
1267891230429626368,2128,8566,469,37743, I can t breathe George Floyd s last words But they didn t die with him They re still being heard They re echoing across this nation It s a wake up call for all of us https t co q kARnpJqU,0.0,Neutral,Tuesday,2020-06-02,18:50:00
1267914382786224128,1812,7392,342,33538,That s what the presidency is a duty of care to all of us not just our voters not just our donors but all of us https t co rWHywb cHV,0.0,Neutral,Tuesday,2020-06-02,20:22:00
1267957164607336448,4529,13571,1001,69709,The presidency is a big job Nobody will get everything right I won t either But I promise you this I won t traffic in fear and division or fan the flames of hate I will seek to heal the racial wounds that have long plagued this country not use them for political gain https t co TfNaoMRZQp,-0.11285714285714288,Negative,Tuesday,2020-06-02,23:12:00
1267970502871613442,9915,50794,2234,239192,When Americans died because of his incompetent leadership this president golfed When Americans peacefully protested outside the White House this president tear gassed them for a photo op Donald Trump was elected to serve us all but he only looks out for himself ,-0.019999999999999997,Neutral,Wednesday,2020-06-03,00:05:00
1267990635174297602,4102,27296,785,135061,If the Senate has time to confirm Donald Trump s unqualified judicial nominees it has time to pass legislation that will give true meaning to our Constitution s promise of equal protection under the law No more excuses No more delays ,-0.037500000000000006,Neutral,Wednesday,2020-06-03,01:25:00
